Symbol,Date,Open,High,Low,Close,Volume
ENGRO,04-Jan-2010,183.50,185.40,182.60,184.42,1322527
ENGRO,05-Jan-2010,185.40,188.75,185.00,188.00,2841411
ENGRO,06-Jan-2010,188.54,193.00,188.54,189.77,4677717
ENGRO,07-Jan-2010,189.77,191.88,187.90,188.23,2350054
ENGRO,08-Jan-2010,188.60,192.30,188.20,191.42,3140941
ENGRO,11-Jan-2010,193.80,196.75,193.06,194.12,4511430
ENGRO,12-Jan-2010,194.30,194.40,191.80,192.31,1081059
ENGRO,13-Jan-2010,192.30,194.50,192.30,192.85,901835
ENGRO,14-Jan-2010,193.60,194.40,191.11,193.33,1918563
ENGRO,15-Jan-2010,194.50,196.75,194.01,194.72,1533012
ENGRO,18-Jan-2010,194.72,198.00,194.10,195.52,2004295
ENGRO,19-Jan-2010,196.20,199.39,195.49,196.06,2542538
ENGRO,20-Jan-2010,196.70,197.11,192.35,193.18,1934576
ENGRO,21-Jan-2010,193.40,193.45,188.40,190.39,2224207
ENGRO,22-Jan-2010,190.55,196.89,187.50,193.98,5793527
ENGRO,25-Jan-2010,195.50,195.70,190.50,191.04,1323881
ENGRO,26-Jan-2010,191.30,193.10,190.60,191.28,1294965
ENGRO,27-Jan-2010,191.50,193.10,190.01,190.51,1296936
ENGRO,28-Jan-2010,190.99,192.98,188.80,192.55,2228815
ENGRO,29-Jan-2010,193.00,193.40,191.20,192.01,943412
ENGRO,01-Feb-2010,192.30,192.50,190.00,190.74,392908
ENGRO,02-Feb-2010,191.88,195.16,191.05,192.82,1718613
ENGRO,03-Feb-2010,193.20,194.00,191.90,192.69,1121821
ENGRO,04-Feb-2010,193.75,202.32,193.60,202.32,5430038
ENGRO,08-Feb-2010,202.32,211.25,202.32,208.89,4600192
ENGRO,09-Feb-2010,208.90,208.90,203.70,204.12,1459656
ENGRO,10-Feb-2010,204.75,206.00,202.10,202.48,955714
ENGRO,11-Feb-2010,203.15,205.00,203.00,204.67,561150
