Symbol,Date,Open,High,Low,Close,Volume
HBL,04-Jan-2010,123.40,124.70,123.20,123.79,121296
HBL,05-Jan-2010,124.50,128.00,124.31,127.40,866016
HBL,06-Jan-2010,128.25,129.99,127.41,128.00,926924
HBL,07-Jan-2010,128.49,134.40,127.67,133.61,3268357
HBL,08-Jan-2010,133.25,134.00,131.50,133.26,1042705
HBL,11-Jan-2010,133.75,135.49,132.60,133.78,913376
HBL,12-Jan-2010,133.80,136.50,132.80,135.38,1540569
HBL,13-Jan-2010,136.40,137.49,134.01,135.11,697265
HBL,14-Jan-2010,135.40,135.90,133.00,134.23,634376
HBL,15-Jan-2010,135.24,136.40,134.31,134.92,604078
HBL,18-Jan-2010,135.39,135.90,133.28,133.65,279892
HBL,19-Jan-2010,134.00,135.70,133.75,134.16,318598
HBL,20-Jan-2010,133.75,134.85,132.00,132.15,513714
HBL,21-Jan-2010,132.00,132.00,125.55,125.70,1769549
HBL,22-Jan-2010,125.70,125.70,119.61,121.51,2317213
HBL,25-Jan-2010,122.90,123.01,120.00,120.41,369460
HBL,26-Jan-2010,121.00,121.80,119.80,120.28,185146
HBL,27-Jan-2010,120.50,122.15,119.10,119.66,215788
HBL,28-Jan-2010,119.66,121.40,118.40,120.58,478973
HBL,29-Jan-2010,121.49,122.25,120.65,121.35,205454
HBL,01-Feb-2010,121.05,121.89,120.11,121.16,167800
HBL,02-Feb-2010,120.85,122.19,119.50,120.22,149553
HBL,03-Feb-2010,120.48,122.48,120.48,121.53,282233
HBL,04-Feb-2010,122.00,123.60,121.00,121.53,375188
HBL,08-Feb-2010,121.00,122.50,120.40,120.80,229206
HBL,09-Feb-2010,120.60,122.00,120.30,120.57,298575
HBL,10-Feb-2010,121.26,121.26,119.20,119.49,144480
HBL,11-Feb-2010,120.40,120.50,119.61,120.18,164237
HBL,12-Feb-2010,120.55,122.88,120.10,121.82,441950
HBL,15-Feb-2010,119.75,120.99,118.66,119.84,237368
HBL,16-Feb-2010,120.40,121.35,120.00,120.82,223855
HBL,17-Feb-2010,123.00,123.50,121.30,121.74,326272
HBL,18-Feb-2010,123.20,124.99,121.81,123.88,1131442
HBL,19-Feb-2010,124.50,127.90,122.60,126.83,3097178
HBL,22-Feb-2010,127.70,128.00,126.04,126.47,786188
HBL,23-Feb-2010,126.61,127.40,125.05,125.37,491568
