Symbol,Date,Open,High,Low,Close,Volume
MCB,04-Jan-2010,219.60,220.40,215.20,215.95,2478180
MCB,05-Jan-2010,216.89,220.75,216.20,219.25,3720502
MCB,06-Jan-2010,220.05,225.00,220.05,223.40,5189731
MCB,07-Jan-2010,223.40,224.89,221.50,222.44,2032048
MCB,08-Jan-2010,223.00,223.25,219.50,220.42,1752809
MCB,11-Jan-2010,221.79,224.10,221.01,221.75,1838658
MCB,12-Jan-2010,222.80,223.49,220.50,221.39,1191016
MCB,13-Jan-2010,221.89,224.50,221.20,221.53,1505020
MCB,14-Jan-2010,222.49,231.60,222.10,228.59,4736587
MCB,15-Jan-2010,232.00,233.49,228.65,229.96,5356984
MCB,18-Jan-2010,229.89,230.69,227.01,228.09,1846757
MCB,19-Jan-2010,228.10,233.80,228.10,231.08,3120186
MCB,20-Jan-2010,231.08,232.38,227.30,228.21,1988272
MCB,21-Jan-2010,228.90,229.60,221.80,223.60,1873465
MCB,22-Jan-2010,223.60,225.55,222.00,223.50,1253646
MCB,25-Jan-2010,222.90,223.99,217.61,218.22,1205455
MCB,26-Jan-2010,219.00,219.70,216.01,216.59,907098
MCB,27-Jan-2010,217.00,219.18,213.00,214.01,1230135
MCB,28-Jan-2010,216.00,216.20,209.30,214.65,1930757
MCB,29-Jan-2010,217.00,217.01,212.05,213.85,1310680
MCB,01-Feb-2010,213.85,214.65,212.00,212.93,853958
MCB,02-Feb-2010,212.75,214.80,210.00,210.69,1384296
MCB,03-Feb-2010,210.69,217.80,210.11,216.45,2177455
MCB,04-Feb-2010,217.95,218.90,214.55,215.33,3614422
MCB,08-Feb-2010,213.99,216.50,213.50,214.16,971048
MCB,09-Feb-2010,214.80,217.51,214.50,215.63,1235706
MCB,10-Feb-2010,216.85,216.85,212.70,213.64,779835
MCB,11-Feb-2010,214.40,216.55,214.33,215.61,920207
MCB,12-Feb-2010,215.80,218.78,215.40,216.01,1442862
MCB,15-Feb-2010,213.00,213.90,211.15,213.20,830387
MCB,16-Feb-2010,213.65,216.00,213.50,215.24,853686
MCB,17-Feb-2010,217.98,220.50,217.10,217.45,1420372
MCB,18-Feb-2010,219.00,221.21,218.10,220.23,1494871
MCB,19-Feb-2010,220.40,224.55,220.40,222.65,2758003
MCB,22-Feb-2010,224.00,226.39,223.55,224.84,2266379
MCB,23-Feb-2010,224.00,224.75,219.50,221.20,2060281
MCB,24-Feb-2010,222.02,222.35,215.01,216.21,1332634
MCB,25-Feb-2010,217.00,221.95,214.51,216.55,2929996
MCB,26-Feb-2010,216.80,216.80,212.58,213.46,711846
MCB,01-Mar-2010,214.03,214.50,209.12,210.80,731839
MCB,02-Mar-2010,211.30,215.80,209.40,214.16,1448783
MCB,03-Mar-2010,215.80,216.19,212.05,212.83,777179
MCB,04-Mar-2010,212.60,216.50,212.40,214.70,979307
MCB,05-Mar-2010,214.99,217.75,213.52,216.43,1333585
MCB,08-Mar-2010,216.00,219.90,215.15,218.41,1630905
MCB,09-Mar-2010,219.00,221.44,216.80,217.67,1962617
MCB,10-Mar-2010,217.50,218.74,215.10,217.59,1703066
MCB,11-Mar-2010,218.70,220.44,218.30,219.27,1958379
MCB,12-Mar-2010,219.50,226.22,218.00,225.20,3573298
MCB,15-Mar-2010,227.40,229.74,225.45,227.91,1646316
MCB,16-Mar-2010,228.50,232.35,227.50,228.80,3648735
MCB,17-Mar-2010,229.78,231.39,228.01,228.30,1631624
MCB,18-Mar-2010,207.40,208.39,205.25,205.65,1641943
MCB,19-Mar-2010,205.99,206.30,203.02,203.83,1188004
MCB,22-Mar-2010,203.75,204.65,201.30,201.83,634265
MCB,24-Mar-2010,203.00,211.92,203.00,211.92,4465765
MCB,25-Mar-2010,214.34,217.25,213.50,214.10,2706212
MCB,26-Mar-2010,214.00,214.00,208.65,209.38,1544983
MCB,29-Mar-2010,210.00,210.20,205.90,206.36,865661
MCB,30-Mar-2010,206.50,208.59,205.50,206.54,1235186
MCB,31-Mar-2010,207.23,211.80,206.11,209.04,2520235
MCB,01-Apr-2010,211.01,212.60,208.13,209.04,2716241
MCB,02-Apr-2010,209.70,216.50,209.31,215.00,4782555
MCB,05-Apr-2010,215.90,219.44,214.20,216.08,3532166
MCB,06-Apr-2010,216.50,219.30,215.11,215.56,2972474
MCB,07-Apr-2010,216.18,216.84,214.80,215.71,960657
MCB,08-Apr-2010,216.41,219.00,215.50,216.14,2458134
MCB,09-Apr-2010,216.83,219.25,216.25,217.25,1970146
MCB,12-Apr-2010,217.94,219.08,215.10,216.35,1145699
MCB,13-Apr-2010,216.75,217.48,214.60,215.02,731402
MCB,14-Apr-2010,215.40,216.99,213.50,216.04,817030
MCB,15-Apr-2010,216.70,219.80,216.22,218.12,2069046
MCB,16-Apr-2010,218.25,220.50,218.20,218.97,1805067
MCB,19-Apr-2010,219.80,219.80,216.99,217.77,602467
MCB,20-Apr-2010,218.10,219.70,216.30,217.02,650575
MCB,21-Apr-2010,217.40,217.40,214.85,216.70,769674
