Date,compund,neg,neu,pos,Open,High,Low,Close,Volume
03-Jan-2011,-0.8934,0.172,0.746,0.082,120.2,121.0,116.8,119.49,510969
04-Jan-2011,-0.6996,0.133,0.806,0.06,119.5,122.3,119.5,121.87,627959
05-Jan-2011,-0.9442,0.319,0.638,0.044,121.75,126.45,121.4,124.93,1506848
06-Jan-2011,-0.7906,0.179,0.726,0.094,124.5,125.89,123.75,124.98,773913
07-Jan-2011,-0.5859,0.14,0.766,0.094,125.84,126.06,124.69,124.99,376749
10-Jan-2011,-0.9723,0.272,0.667,0.062,126.24,126.8,123.0,123.56,166214
11-Jan-2011,-0.9578,0.225,0.674,0.101,123.61,124.5,122.75,123.01,329849
12-Jan-2011,-0.3818,0.125,0.757,0.118,124.0,128.9,123.89,127.87,788687
13-Jan-2011,-0.7184,0.121,0.783,0.096,128.7,128.97,126.25,127.6,156709
14-Jan-2011,-0.872,0.154,0.771,0.074,128.48,128.48,126.45,126.7,278339
17-Jan-2011,-0.5994,0.143,0.752,0.104,127.75,128.0,126.34,126.79,195832
18-Jan-2011,-0.7506,0.167,0.776,0.057,127.4,127.44,125.45,125.58,75393
19-Jan-2011,-0.765,0.142,0.784,0.074,126.0,127.12,124.1,124.49,158779
20-Jan-2011,-0.875,0.162,0.787,0.051,125.0,125.25,122.83,123.03,54899
21-Jan-2011,-0.8689,0.124,0.835,0.041,123.0,125.25,123.0,123.8,73781
24-Jan-2011,-0.8316,0.134,0.786,0.08,124.0,124.65,123.3,123.58,28629
25-Jan-2011,-0.6486,0.11,0.812,0.077,124.35,124.85,123.4,123.5,70998
26-Jan-2011,-0.9201,0.203,0.755,0.042,123.11,124.01,122.0,122.16,202293
27-Jan-2011,-0.9172,0.193,0.774,0.032,123.5,125.1,123.1,123.62,523617
28-Jan-2011,-0.936,0.209,0.735,0.056,123.98,124.96,123.0,123.82,192270
31-Jan-2011,-0.9153,0.164,0.739,0.097,125.25,126.45,122.0,123.04,502164
01-Feb-2011,-0.9628,0.167,0.769,0.064,123.25,124.25,121.5,122.33,156405
02-Feb-2011,-0.9744,0.238,0.715,0.046,122.9,125.34,120.75,124.71,416363
03-Feb-2011,-0.9568,0.191,0.768,0.041,125.9,125.9,123.8,124.03,119391
04-Feb-2011,-0.959,0.181,0.792,0.028,124.7,124.85,123.0,124.37,311317
07-Feb-2011,-0.9128,0.198,0.734,0.067,124.78,125.75,124.05,124.86,73565
08-Feb-2011,-0.9081,0.135,0.81,0.055,124.02,125.2,123.7,124.93,414286
09-Feb-2011,-0.9823,0.279,0.658,0.062,124.79,124.8,123.25,123.48,22308
10-Feb-2011,-0.9531,0.181,0.777,0.041,124.0,124.0,123.06,123.13,57136
11-Feb-2011,-0.93,0.227,0.679,0.095,122.4,123.75,121.7,122.15,112463
14-Feb-2011,-0.8074,0.16,0.712,0.128,122.5,122.72,121.0,122.15,239870
15-Feb-2011,-0.9658,0.148,0.814,0.038,123.4,123.9,122.1,123.28,342375
17-Feb-2011,-0.9802,0.197,0.803,0.0,122.61,125.8,122.36,124.96,178820
18-Feb-2011,-0.296,0.085,0.855,0.06,125.5,127.0,122.1,123.16,893122
21-Feb-2011,-0.9413,0.133,0.824,0.043,123.16,123.85,121.52,121.73,103755
22-Feb-2011,-0.4019,0.108,0.792,0.1,122.75,122.75,118.51,119.25,309012
23-Feb-2011,-0.9118,0.148,0.784,0.068,119.48,120.0,114.55,117.77,145969
24-Feb-2011,-0.9836,0.23,0.701,0.07,118.22,119.8,118.12,118.79,54132
25-Feb-2011,-0.9489,0.172,0.756,0.072,120.0,120.8,115.85,116.74,143070
28-Feb-2011,-0.9601,0.129,0.846,0.025,117.7,120.0,117.1,119.2,103847
01-Mar-2011,-0.9287,0.178,0.699,0.123,121.5,124.0,120.0,122.15,469476
02-Mar-2011,-0.8169,0.129,0.778,0.093,124.5,124.5,120.5,122.18,154199
03-Mar-2011,-0.9732,0.189,0.74,0.071,122.11,123.3,121.25,123.0,93900
04-Mar-2011,-0.959,0.213,0.691,0.095,122.0,129.15,122.0,129.14,756419
07-Mar-2011,-0.9747,0.2,0.744,0.056,130.8,131.0,127.0,127.15,101124
08-Mar-2011,-0.9911,0.279,0.656,0.065,128.25,128.25,125.8,126.59,67467
09-Mar-2011,-0.9774,0.225,0.734,0.041,127.33,128.79,127.0,127.76,42400
10-Mar-2011,-0.9661,0.172,0.777,0.05,128.25,128.5,126.31,126.7,34122
11-Mar-2011,-0.6597,0.17,0.716,0.115,126.5,128.18,125.0,127.84,80177
14-Mar-2011,-0.8729,0.174,0.708,0.118,126.85,128.5,126.85,127.99,131048
15-Mar-2011,-0.9871,0.283,0.699,0.018,110.5,111.4,106.75,107.08,270640
16-Mar-2011,-0.9882,0.222,0.778,0.0,107.95,108.5,105.5,106.63,36071
17-Mar-2011,-0.8979,0.162,0.743,0.094,107.8,111.96,107.5,111.25,135335
18-Mar-2011,-0.9825,0.264,0.666,0.07,110.1,111.0,107.51,108.33,159484
21-Mar-2011,-0.994,0.255,0.716,0.029,108.01,108.1,106.6,106.98,103875
22-Mar-2011,-0.9677,0.248,0.676,0.076,107.31,107.9,105.1,106.02,243634
24-Mar-2011,-0.9598,0.199,0.743,0.058,105.8,107.05,105.8,106.18,55647
25-Mar-2011,-0.9885,0.241,0.709,0.05,106.99,106.99,105.5,105.59,19269
28-Mar-2011,-0.6555,0.114,0.797,0.09,104.16,106.25,104.16,105.3,9085
29-Mar-2011,-0.9313,0.185,0.716,0.099,105.97,107.5,105.97,107.32,64672
30-Mar-2011,0.9555,0.0,0.76,0.24,107.11,110.0,107.11,109.13,80757
31-Mar-2011,-0.9936,0.243,0.704,0.053,110.86,112.74,108.12,111.67,416712
01-Apr-2011,-0.9702,0.2,0.698,0.102,113.49,117.25,110.2,117.25,216281
04-Apr-2011,-0.8688,0.123,0.839,0.037,117.95,120.15,117.4,119.13,197092
05-Apr-2011,0.8074,0.096,0.729,0.175,119.5,121.9,116.7,121.46,224833
06-Apr-2011,-0.8997,0.161,0.741,0.099,122.0,123.2,119.25,121.97,309450
