Symbol,Date,Open,High,Low,Close,Volume
HBL,01-Oct-2015,198.00,200.50,196.80,197.87,426600
HBL,02-Oct-2015,199.00,200.00,198.00,198.27,370300
HBL,05-Oct-2015,198.03,198.51,197.11,198.01,47900
HBL,06-Oct-2015,199.90,204.49,199.00,203.25,157300
HBL,07-Oct-2015,203.00,204.65,202.00,204.00,130400
HBL,08-Oct-2015,202.00,205.00,193.80,201.67,649200
HBL,09-Oct-2015,202.50,205.95,200.50,202.93,438500
HBL,12-Oct-2015,202.60,209.01,201.50,204.20,1123900
HBL,13-Oct-2015,204.15,207.69,204.00,206.04,1254800
HBL,14-Oct-2015,205.00,208.00,202.15,205.46,112300
HBL,15-Oct-2015,206.90,208.00,205.00,205.70,1342600
HBL,16-Oct-2015,206.00,207.00,204.05,206.51,127000
HBL,19-Oct-2015,208.90,208.90,205.00,205.21,261100
HBL,20-Oct-2015,204.50,205.55,204.27,204.97,54400
HBL,21-Oct-2015,205.00,211.00,205.00,209.67,574600
HBL,22-Oct-2015,210.00,210.01,207.00,208.00,782100
HBL,26-Oct-2015,207.50,209.50,206.53,207.00,135200
HBL,27-Oct-2015,206.02,207.90,206.02,207.03,456100
HBL,28-Oct-2015,208.00,208.99,207.50,207.99,217800
HBL,29-Oct-2015,207.99,209.50,207.01,208.59,1319000
HBL,30-Oct-2015,213.50,213.50,208.10,209.69,634800
HBL,02-Nov-2015,209.50,210.74,208.61,210.00,558300
HBL,03-Nov-2015,208.51,210.50,208.50,209.31,82300
HBL,04-Nov-2015,208.52,212.00,208.50,211.00,512200
HBL,05-Nov-2015,211.90,212.50,210.25,210.59,677700
HBL,06-Nov-2015,210.59,211.45,210.50,210.99,654800
HBL,09-Nov-2015,210.50,212.00,210.00,211.58,40500
HBL,10-Nov-2015,202.10,208.00,202.10,206.92,160900
HBL,11-Nov-2015,205.50,209.40,205.11,208.94,30500
HBL,12-Nov-2015,208.50,212.00,206.10,211.18,235200
HBL,13-Nov-2015,210.00,211.70,209.01,210.02,3728400
HBL,16-Nov-2015,208.11,209.85,208.11,208.84,1203800
HBL,17-Nov-2015,210.00,212.29,210.00,212.08,113000
HBL,18-Nov-2015,212.08,213.50,211.00,211.39,92300
HBL,19-Nov-2015,212.00,213.75,211.60,212.26,1592400
HBL,20-Nov-2015,213.00,213.25,211.90,212.01,64000
HBL,23-Nov-2015,212.00,213.48,211.50,212.10,160500
HBL,24-Nov-2015,210.00,213.99,210.00,212.51,253100
HBL,25-Nov-2015,212.00,212.80,207.00,207.92,220600
HBL,26-Nov-2015,209.00,209.75,206.50,206.86,41400
HBL,27-Nov-2015,206.01,208.89,206.00,208.00,35200
HBL,30-Nov-2015,205.11,208.15,200.01,202.91,815600
HBL,01-Dec-2015,204.90,205.99,199.00,199.40,1820000
HBL,02-Dec-2015,200.00,205.50,200.00,202.52,274700
HBL,03-Dec-2015,201.98,209.50,200.56,208.52,204300
HBL,04-Dec-2015,208.62,210.50,208.52,209.20,112400
HBL,07-Dec-2015,206.25,212.00,206.25,210.14,123800
HBL,08-Dec-2015,209.00,212.80,209.00,211.23,92800
HBL,09-Dec-2015,211.52,214.95,211.00,214.03,144900
HBL,10-Dec-2015,215.00,216.50,214.00,215.04,324800
HBL,11-Dec-2015,214.01,216.47,213.60,215.39,39300
HBL,14-Dec-2015,212.51,216.88,212.51,216.09,70800
HBL,15-Dec-2015,213.41,217.90,213.41,215.01,163000
HBL,16-Dec-2015,213.05,215.95,213.05,215.27,92300
HBL,17-Dec-2015,214.10,221.00,212.32,219.28,145700
HBL,18-Dec-2015,217.50,220.00,208.32,208.32,7761600
HBL,21-Dec-2015,206.00,207.50,197.91,200.08,6031400
HBL,22-Dec-2015,202.25,203.45,198.75,199.15,1136200
HBL,23-Dec-2015,199.99,202.48,199.10,201.80,5858600
HBL,28-Dec-2015,202.00,202.00,199.01,199.80,711600
HBL,29-Dec-2015,199.90,201.85,199.90,200.82,332700
HBL,30-Dec-2015,200.75,201.50,200.03,201.04,151600
HBL,31-Dec-2015,200.21,201.20,198.99,200.12,779200
HBL,01-Jan-2016,200.50,201.89,200.50,201.07,50100
HBL,04-Jan-2016,201.10,201.50,199.51,200.07,209800
HBL,05-Jan-2016,199.00,201.35,197.01,200.01,85500
HBL,06-Jan-2016,201.00,201.00,198.00,198.43,531300
HBL,07-Jan-2016,198.05,198.05,195.50,196.24,356900
HBL,08-Jan-2016,195.28,196.00,192.86,193.36,769600
HBL,11-Jan-2016,193.99,194.00,189.52,190.90,2025100
HBL,12-Jan-2016,189.06,194.90,189.01,193.01,165100
HBL,13-Jan-2016,193.40,194.84,192.04,192.81,163900
HBL,14-Jan-2016,191.00,191.00,186.10,187.51,942400
HBL,15-Jan-2016,189.00,189.40,183.00,184.52,243300
HBL,18-Jan-2016,181.11,182.99,175.30,179.90,935600
HBL,19-Jan-2016,182.00,182.00,178.11,180.99,804700
HBL,20-Jan-2016,180.00,181.24,176.00,177.39,465300
HBL,21-Jan-2016,176.85,180.80,176.50,178.90,1646300
HBL,22-Jan-2016,180.00,180.00,177.53,177.84,274800
HBL,25-Jan-2016,179.50,180.99,176.80,177.15,304400
HBL,26-Jan-2016,176.50,177.45,175.50,175.99,143300
HBL,27-Jan-2016,177.48,177.49,175.50,176.01,527800
HBL,28-Jan-2016,176.01,177.00,169.00,171.18,943000
HBL,29-Jan-2016,172.00,172.50,170.55,171.05,1652500
HBL,01-Feb-2016,172.00,179.60,172.00,179.60,1355300
HBL,02-Feb-2016,180.40,187.00,180.40,183.75,1338000
HBL,03-Feb-2016,182.02,191.87,181.51,188.70,2132700
HBL,04-Feb-2016,188.70,192.80,188.70,192.09,1067900
HBL,08-Feb-2016,193.00,199.30,193.00,196.17,930900
HBL,09-Feb-2016,196.40,196.50,192.50,195.16,519400
HBL,10-Feb-2016,194.00,195.25,192.00,192.23,2127400
HBL,11-Feb-2016,192.50,192.50,188.40,188.60,389200
HBL,12-Feb-2016,190.01,190.64,184.00,185.01,233600
HBL,15-Feb-2016,186.50,194.00,186.50,191.35,1184300
HBL,16-Feb-2016,192.90,193.00,188.50,189.09,761300
HBL,17-Feb-2016,188.95,188.95,185.02,186.38,76300
HBL,18-Feb-2016,187.99,188.70,183.50,184.14,440700
HBL,19-Feb-2016,187.00,187.00,183.00,183.61,313700
HBL,22-Feb-2016,184.00,184.50,181.13,183.23,59400
HBL,23-Feb-2016,184.00,185.00,177.00,178.77,404400
HBL,24-Feb-2016,178.10,179.50,176.00,177.59,198400
HBL,25-Feb-2016,178.50,178.50,175.90,176.72,316600
HBL,26-Feb-2016,177.22,185.49,177.00,183.47,309400
HBL,29-Feb-2016,184.50,184.50,180.50,181.03,1114000
HBL,01-Mar-2016,182.00,182.25,180.02,181.01,591900
HBL,02-Mar-2016,185.50,185.50,181.00,183.68,5198300
HBL,03-Mar-2016,183.80,190.75,183.80,187.27,776300
HBL,04-Mar-2016,187.00,188.99,186.00,187.40,625800
HBL,07-Mar-2016,189.00,192.44,187.20,191.37,1654700
HBL,08-Mar-2016,191.49,191.50,188.51,189.85,615400
HBL,09-Mar-2016,189.50,189.50,185.00,185.98,1532300
HBL,10-Mar-2016,187.30,187.30,182.50,182.92,450200
HBL,11-Mar-2016,182.10,183.00,178.00,181.24,2190600
HBL,14-Mar-2016,180.50,183.00,180.25,181.96,636400
HBL,15-Mar-2016,182.89,182.89,179.06,179.86,562200
HBL,16-Mar-2016,181.40,182.30,179.25,181.96,150200
HBL,17-Mar-2016,181.65,181.85,180.51,181.13,1363000
HBL,18-Mar-2016,181.70,182.00,180.50,181.74,203400
HBL,21-Mar-2016,179.00,180.00,177.50,177.80,172800
HBL,22-Mar-2016,178.00,179.99,177.05,177.94,1657300
HBL,24-Mar-2016,178.00,179.75,176.00,176.50,1464100
HBL,25-Mar-2016,177.47,178.00,177.00,177.44,93900
HBL,28-Mar-2016,176.01,176.97,174.99,176.08,1613800
HBL,29-Mar-2016,176.20,176.40,173.75,174.04,242300
HBL,30-Mar-2016,174.00,175.00,170.25,170.79,828000
HBL,31-Mar-2016,171.88,173.50,169.10,171.54,5530500
HBL,01-Apr-2016,172.00,174.90,171.00,173.34,5150300
HBL,04-Apr-2016,173.99,176.50,173.00,175.31,1120400
HBL,05-Apr-2016,175.11,176.00,173.21,173.48,540400
HBL,06-Apr-2016,174.00,175.99,173.95,175.01,163200
HBL,07-Apr-2016,175.00,175.10,173.51,174.00,427400
