Date,compund,neg,neu,pos,Open,High,Low,Close,Volume
03-Jan-2011,-0.8934,0.172,0.746,0.082,191.1,193.3,190.0,190.47,1421463
04-Jan-2011,-0.6996,0.133,0.806,0.06,191.5,196.94,191.49,196.1,3747305
05-Jan-2011,-0.9442,0.319,0.638,0.044,195.1,197.99,193.4,194.17,2265755
06-Jan-2011,-0.7906,0.179,0.726,0.094,194.89,199.1,194.75,198.28,3689676
07-Jan-2011,-0.5859,0.14,0.766,0.094,198.3,203.2,197.01,201.55,4784930
10-Jan-2011,-0.9723,0.272,0.667,0.062,203.1,210.45,203.0,208.0,7265517
11-Jan-2011,-0.9578,0.225,0.674,0.101,208.78,209.44,203.85,208.26,5130218
12-Jan-2011,-0.3818,0.125,0.757,0.118,210.0,210.99,203.26,205.25,4998873
13-Jan-2011,-0.7184,0.121,0.783,0.096,206.5,210.9,203.15,209.31,4584221
14-Jan-2011,-0.872,0.154,0.771,0.074,211.0,219.77,210.12,219.68,8469781
17-Jan-2011,-0.5994,0.143,0.752,0.104,222.15,222.8,214.0,217.56,6811178
18-Jan-2011,-0.7506,0.167,0.776,0.057,218.01,220.0,213.25,214.57,5387205
19-Jan-2011,-0.765,0.142,0.784,0.074,215.7,216.9,211.05,211.62,2750710
20-Jan-2011,-0.875,0.162,0.787,0.051,212.3,214.5,209.5,210.41,2585329
21-Jan-2011,-0.8689,0.124,0.835,0.041,211.05,215.3,210.5,211.47,2153552
24-Jan-2011,-0.8316,0.134,0.786,0.08,212.4,213.24,209.5,209.82,952269
25-Jan-2011,-0.6486,0.11,0.812,0.077,210.6,215.6,208.12,214.88,4258744
26-Jan-2011,-0.9201,0.203,0.755,0.042,215.4,217.25,211.75,212.16,2782859
27-Jan-2011,-0.9172,0.193,0.774,0.032,213.0,213.67,211.1,211.98,996141
28-Jan-2011,-0.936,0.209,0.735,0.056,211.98,214.99,211.65,212.07,1122725
31-Jan-2011,-0.9153,0.164,0.739,0.097,214.5,218.55,211.0,212.82,5642435
01-Feb-2011,-0.9628,0.167,0.769,0.064,214.51,217.97,213.0,214.59,4602383
02-Feb-2011,-0.9744,0.238,0.715,0.046,216.02,217.25,212.3,214.4,2045768
03-Feb-2011,-0.9568,0.191,0.768,0.041,216.0,219.49,214.56,218.62,2284759
04-Feb-2011,-0.959,0.181,0.792,0.028,219.1,222.2,219.1,221.05,3380875
07-Feb-2011,-0.9128,0.198,0.734,0.067,221.35,221.35,218.75,219.65,595904
08-Feb-2011,-0.9081,0.135,0.81,0.055,220.14,220.14,216.5,218.18,1014444
09-Feb-2011,-0.9823,0.279,0.658,0.062,217.75,218.35,214.8,215.38,706633
10-Feb-2011,-0.9531,0.181,0.777,0.041,215.99,216.5,212.6,213.66,682279
11-Feb-2011,-0.93,0.227,0.679,0.095,214.49,215.5,208.1,210.07,1512521
14-Feb-2011,-0.8074,0.16,0.712,0.128,210.0,217.0,206.22,214.64,2871229
15-Feb-2011,-0.9658,0.148,0.814,0.038,216.1,217.23,214.8,215.07,1898293
17-Feb-2011,-0.9802,0.197,0.803,0.0,215.21,219.25,215.21,218.77,4661938
18-Feb-2011,-0.296,0.085,0.855,0.06,219.59,221.45,216.5,219.33,1992254
21-Feb-2011,-0.9413,0.133,0.824,0.043,220.45,221.0,216.56,217.24,1065862
22-Feb-2011,-0.4019,0.108,0.792,0.1,217.24,217.5,209.01,210.43,1954455
23-Feb-2011,-0.9118,0.148,0.784,0.068,210.0,213.1,208.0,211.17,1386507
24-Feb-2011,-0.9836,0.23,0.701,0.07,212.0,214.29,208.8,209.87,1328320
25-Feb-2011,-0.9489,0.172,0.756,0.072,210.25,210.8,199.38,201.69,2815572
28-Feb-2011,-0.9601,0.129,0.846,0.025,203.0,210.0,200.6,208.51,1422735
01-Mar-2011,-0.9287,0.178,0.699,0.123,210.89,216.0,207.62,214.38,3915283
02-Mar-2011,-0.8169,0.129,0.778,0.093,215.1,215.1,211.27,214.27,1909427
03-Mar-2011,-0.9732,0.189,0.74,0.071,214.5,217.49,213.0,216.29,1675400
04-Mar-2011,-0.959,0.213,0.691,0.095,216.0,227.1,215.51,226.57,5080545
07-Mar-2011,-0.9747,0.2,0.744,0.056,228.2,231.37,224.0,225.61,2753860
08-Mar-2011,-0.9911,0.279,0.656,0.065,225.25,227.1,224.0,226.25,1080839
09-Mar-2011,-0.9774,0.225,0.734,0.041,227.0,237.56,227.0,237.19,5670943
10-Mar-2011,-0.9661,0.172,0.777,0.05,237.9,238.5,232.32,234.84,3775075
